Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submitter	Assembly BioProject Accession	Annotation Count Gene Total
GCA_027886695.1	LraJLM1587_1	Lentinula raphanica	153919		38596630	Scaffold	DOE Joint Genome Institute	PRJNA572464	14887
GCA_013399415.1	ASM1339941v1	Sagittarius serpentarius	56258		1139033624	Scaffold	B10K Consortium	PRJNA545868	14359
GCA_000265015.1	Auricularia subglabra SS-5 V1.0	Auricularia subglabra TFB-10046 SS5	717982		74920202	Scaffold	JGI	PRJNA60553	23783
GCA_905321285.1	Rg_RM15_reference_genomic_v1	Rotaria magnacalcarata	392030		174022112	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43239	37252
GCA_024243815.1	naus_LUAm28	Nematocida ausubeli	1913371		4493631	Scaffold	University of Toronto	PRJNA579982	2776
GCA_905261645.1	Rg_MAG1_reference_genomic_v1	Rotaria magnacalcarata	392030		178690144	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43239	39094
GCA_024243895.1	naus_JUm2796	Nematocida ausubeli	1913371		4274444	Scaffold	University of Toronto	PRJNA579982	2542
GCA_905273325.1	Rg_MAG2_reference_genomic_v1	Rotaria magnacalcarata	392030		181111224	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43239	39021
GCA_027579385.1	UCR_CoacNRRL2694_1.0	Coemansia aciculifera	417176		16111725	Scaffold	DOE Joint Genome Institute	PRJNA581572	6374
GCA_905319835.1	Rg_MAG3_reference_genomic_v1	Rotaria magnacalcarata	392030		180850907	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43239	39399
GCA_015502565.1	UCR_MambBC1291	Actinomortierella ambigua	1343610		37568403	Scaffold	DOE Joint Genome Institute	PRJNA463333	9948
GCA_905321535.1	Rg_RM9_reference_genomic_v1	Rotaria magnacalcarata	392030		173753500	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43239	37381
GCA_004794745.1	tlon_1.0	Temnothorax longispinosus	300112		260681563	Scaffold	Westfaelische Wilhelms-University	PRJNA449506	13028
GCA_024243685.1	naus_LUAm27	Nematocida ausubeli	1913371		4539576	Scaffold	University of Toronto	PRJNA579982	2818
GCA_024243925.1	naus_JUm2520	Nematocida ausubeli	1913371		4493380	Scaffold	University of Toronto	PRJNA579982	2802
GCA_013399555.1	ASM1339955v1	Circaetus pectoralis	321084		1183443218	Scaffold	B10K Consortium	PRJNA545868	15855
GCA_027604745.1	ASM2760474v1	Chytriomyces hyalinus	4814		29467998	Contig	DOE Joint Genome Institute	PRJNA619727	11820
GCA_900618365.1	T_callipaeda_Ticino_0011_upd	Thelazia callipaeda	103827		75392092	Scaffold	WTSI	PRJEB1205	10912
GCA_900199415.2	LSINAPIS	Leptidea sinapis	189913		642750272	Scaffold	Evolutionary Biology Centre	PRJEB21838	15591
GCA_015849275.1	UCR_MambNRRL28271_1.0	Actinomortierella ambigua	1343610		35145602	Scaffold	DOE Joint Genome Institute	PRJNA340820	9264
GCA_002897355.1	Aurantiochytrium_FCC1311_v1	Hondaea fermentalgiana	2315210		38943350	Scaffold	Fermentalg - 4 Rue Riviere - Libourne - 33500 - France	PRJDB6540	11853
GCA_000582765.1	AKH_PRJEB1535_v1	Phytomonas sp. EM1	479712		17780869	Scaffold	Genoscope CEA	PRJEB1535	6381
GCA_900169345.1	Lasallia pustulata v1	Lasallia pustulata	136370		39229750	Scaffold	IPF	PRJEB11664	8268
GCA_003427335.1	Cpunctatum_v1.0	Chiloscyllium punctatum	137246		3375698300	Scaffold	Phyloinformatics Unit, Division of Bio-Function Dynamics Imaging, Center for Life Science Technologies, RIKEN	PRJDB6260	33501
GCA_016984175.1	BGI_Aspa_1.0	Atractosteus spatula	7917		1055216122	Scaffold	BGI	PRJNA599026	18711
GCA_027579565.1	UCR_CoerCBS939.97_1.0	Coemansia erecta	147472		13048106	Scaffold	DOE Joint Genome Institute	PRJNA711390	5532
GCA_015847195.1	UCR_MzychaePUSTF9C_1.0	Linnemannia zychae	979765		44794830	Scaffold	DOE Joint Genome Institute	PRJNA535811	11333
GCA_030272935.1	UoO_Maeth_FR	Microctonus aethiopoides	144406		118862133	Scaffold	University of Otago	PRJNA930586	14172
GCA_016097855.1	UCR_MgamAD045_1.0	Linnemannia gamsii	64522		49262965	Scaffold	DOE Joint Genome Institute	PRJNA340843	12824
GCA_001702395.2	DHEL01v2	Diaporthe helianthi	158607		63672038	Scaffold	University of Western Brittany	PRJNA327798	13139
GCA_014338405.1	P_miyazaki_1.0.pg.lrna	Paragonimus skrjabini miyazakii	59628		915809684	Scaffold	The Genome Institute	PRJNA245325	13918
GCA_027603655.1	ASM2760365v1	Entophlyctis luteolus	109932		25900143	Contig	DOE Joint Genome Institute	PRJNA619729	9330
GCA_015852375.1	UCR_MclonKOD947_1.0	Podila clonocystis	979688		39506643	Scaffold	DOE Joint Genome Institute	PRJNA340829	11834
GCA_015499975.1	UCR_DornN22417_1.0	Dissophora ornata	979620		38407782	Scaffold	DOE Joint Genome Institute	PRJNA340805	11339
GCA_905332145.1	Rg_RM15_maxhap_genomic_v1	Rotaria magnacalcarata	392030		176550445	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43238	39153
GCA_027579785.1	UCR_CoacCBS516.66_1.0	Coemansia aciculifera	417176		17466434	Scaffold	DOE Joint Genome Institute	PRJNA650740	6883
GCA_016098015.1	UCR_MmultNRRL6456_1.0	Gamsiella multidivaricata	101098		36027825	Scaffold	DOE Joint Genome Institute	PRJNA340801	10608
GCA_002148645.1	ASM214864v1	Trichinella nativa	6335		51405409	Scaffold	The Genome Institute	PRJNA179527	10792
GCA_027575665.1	UCR_KalabBenny63K_1.0	Kickxella alabastrina	61397		30383641	Contig	University of Florida	PRJNA738968	12340
GCA_015852435.1	UCR_MepiAD058	Podila epicladia	979697		40828681	Scaffold	DOE Joint Genome Institute	PRJNA340839	11948
GCA_003990765.1	Jimfl_AD_1	Jimgerdemannia flammicorona	994334		231316372	Contig	DOE Joint Genome Institute	PRJNA331666	13497
GCA_016097925.1	UCR_MhortAD009_1.0	Podila horticola	311239		39961060	Scaffold	DOE Joint Genome Institute	PRJNA340847	12094
GCA_016097885.1	UCR_MgloAD054_1.0	Dissophora globulifera	979702		38208522	Scaffold	DOE Joint Genome Institute	PRJNA340845	10457
GCA_016097945.1	UCR_MhumKOD1050_1.0	Podila humilis	64523		29168965	Scaffold	DOE Joint Genome Institute	PRJNA340851	8500
GCA_026229895.1	ASM2622989v1	Colletotrichum tanaceti	1306861		51501111	Scaffold	The University of Melbourne	PRJNA492188	12204
GCA_027577055.1	UCR_CothIMI214463_1.0	Coemansia thaxteri	2663907		14781496	Scaffold	DOE Joint Genome Institute	PRJNA581583	6261
GCA_905332155.1	Rg_RM9_maxhap_genomic_v1	Rotaria magnacalcarata	392030		198468309	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43238	51592
GCA_030272655.1	UoO_Maeth_MO	Microctonus aethiopoides	144406		120330635	Scaffold	University of Otago	PRJNA930586	14471
GCA_016097865.1	UCR_MgamNVP60_1.0	Linnemannia gamsii	64522		49480766	Scaffold	DOE Joint Genome Institute	PRJNA340844	13387
GCA_015852335.1	UCR_MchalNRRL2769 _1.0	Entomortierella chlamydospora	101097		38209812	Scaffold	DOE Joint Genome Institute	PRJNA340827	11808
GCA_027579345.1	UCR_CoerIMI279145_1.0	Coemansia erecta	147472		17882803	Scaffold	DOE Joint Genome Institute	PRJNA677046	7176
GCA_015847225.1	UCR_Ltran_NRRL5525_1.0	Lobosporangium transversale	64571		35644097	Scaffold	DOE Joint Genome Institute	PRJNA364309	11388
GCA_910592245.1	Gigaspora_margarita_120-4_pot_B_10_14	Gigaspora margarita	4874		574570460	Contig	UPPSALA UNIVERISTY	PRJEB45340	46492
GCA_027579195.1	UCR_CoemCBS108938_1.0	Coemansia spiralis	417178		13792733	Scaffold	DOE Joint Genome Institute	PRJNA650732	7370
GCA_026770595.1	Ochro2298_1	Ochromonadaceae sp. CCMP2298	483371		61116754	Scaffold	Laval University	PRJNA171379	20172
GCA_027579355.1	UCR_CoerBCRC34228_1.0	Coemansia erecta	147472		18719236	Scaffold	DOE Joint Genome Institute	PRJNA581601	8132
GCA_027579645.1	UCR_CoacCBS109363_1.0	Coemansia aciculifera	417176		12976280	Scaffold	DOE Joint Genome Institute	PRJNA677035	6568
GCA_027575875.1	UCR_KialRSA2140_1.0	Kickxella alabastrina	61397		16912514	Scaffold	DOE Joint Genome Institute	PRJNA581163	7595
GCA_027579325.1	UCR_CofuBCRC34190_1.0	Coemansia furcata	417177		17453606	Scaffold	DOE Joint Genome Institute	PRJNA581603	7205
GCA_002087875.1	ASM208787v1	Hepatospora eriocheir	1081669		4834792	Contig	University of Exeter	PRJNA312885	3058
GCA_027579585.1	UCR_CoerCBS336.87_1.0	Coemansia erecta	147472		14931779	Scaffold	DOE Joint Genome Institute	PRJNA711391	6567
GCA_027579485.1	UCR_ConaCBS109400_1.0	Coemansia nantahalensis	2789366		14380147	Contig	DOE Joint Genome Institute	PRJNA676421	7554
GCA_027575835.1	UCR_LipeNRRL3781_1.0	Linderina pennispora	61395		18805443	Scaffold	DOE Joint Genome Institute	PRJNA499694	10455
GCA_027579955.1	UCR_CoacBCRC34181_1.0	Coemansia aciculifera	417176		12797631	Scaffold	DOE Joint Genome Institute	PRJNA581600	6854
GCA_027579625.1	UCR_CoasBCRC34628_1.0	Coemansia asiatica	1052880		14675238	Scaffold	DOE Joint Genome Institute	PRJNA538871	6626
GCA_905332115.1	Rg_MAG1_maxhap_genomic_v1	Rotaria magnacalcarata	392030		241017618	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43238	79415
GCA_006369765.1	ASM636976v1	Halteria grandinella	5974		64049499	Scaffold	Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China	PRJNA448784	17815
GCA_000499445.1	EPH001	Eimeria praecox	51316		60083328	Scaffold	SC	PRJEB4836	7635
GCA_905332135.1	Rg_MAG3_maxhap_genomic_v1	Rotaria magnacalcarata	392030		258723840	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43238	86934
GCA_905332125.1	Rg_MAG2_maxhap_genomic_v1	Rotaria magnacalcarata	392030		261996445	Scaffold	IMPERIAL COLLEGE LONDON	PRJEB43238	88549
GCA_017911135.1	ASM1791113v1	Pneumocystis canis	2698477		3659264	Scaffold	National Institutes Of Health	PRJNA632878	1050
GCA_035040045.1	WUR_ZasSy_1	Zasmidium cellare	395010		42471150	Scaffold	Wageningen University and Research	PRJNA931964	15306
GCA_045282135.1	ASM4528213v1	Nakaseomyces bracarensis	273131		12750575	Contig	BSC	PRJNA1001830	5132
GCA_000507485.3	Kwon_mang_CBS8886_V1	Kwoniella mangroviensis CBS 8886	1296123		22872713	Scaffold	Broad Institute	PRJNA191224	8563
GCA_000507885.2	Kwon_mang_CBS10435_V2	Kwoniella mangroviensis CBS 10435	1331196		22653759	Scaffold	Broad Institute	PRJNA202099	8565
GCA_900322975.1	Pse_flocc_v1	Pseudozyma flocculosa	84751		27106246	Contig	Technische Universitat Munchen - WZW	PRJEB25598	8851
GCA_024244335.1	ASM2424433v1	Aureobasidium subglaciale	1042127		24698325	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	8695
GCA_024244225.1	ASM2424422v1	Aureobasidium subglaciale	1042127		26338116	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9301
GCA_024244315.1	ASM2424431v1	Aureobasidium subglaciale	1042127		25973129	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9722
GCA_024244585.1	ASM2424458v1	Aureobasidium subglaciale	1042127		25984867	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9715
GCA_024244235.1	ASM2424423v1	Aureobasidium subglaciale	1042127		25975572	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9726
GCA_024244305.1	ASM2424430v1	Aureobasidium subglaciale	1042127		25964868	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9726
GCA_024244255.1	ASM2424425v1	Aureobasidium subglaciale	1042127		26113063	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9239
GCA_024244275.1	ASM2424427v1	Aureobasidium subglaciale	1042127		26742943	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527935	9535
GCA_004324935.1	Ordospora GBEP v1	Ordospora colligata	174685		2308789	Contig	Illinois Institute of Technology	PRJNA419750	1857
GCA_911174935.1	Pnal_ESE00253	Penicillium nalgiovense	60175		31630503	Scaffold	University Paris-Sud	PRJEB44534	11021
GCA_004917865.1	ASM491786v1	Wallemia ichthyophaga	245174		9550735	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4129
GCA_004918305.1	ASM491830v1	Wallemia ichthyophaga	245174		9512494	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4111
GCA_004918405.1	ASM491840v1	Wallemia ichthyophaga	245174		9513115	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4117
GCA_004918655.1	ASM491865v1	Wallemia ichthyophaga	245174		9507769	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4106
GCA_004918735.1	ASM491873v1	Wallemia ichthyophaga	245174		9508011	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4107
GCA_004918885.1	ASM491888v1	Wallemia ichthyophaga	245174		9511745	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4115
GCA_004918235.1	ASM491823v1	Wallemia ichthyophaga	245174		9615360	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4165
GCA_911175205.1	Pnal_ESE00265	Penicillium nalgiovense	60175		31250068	Scaffold	University Paris-Sud	PRJEB44534	10972
GCA_004918455.1	ASM491845v1	Wallemia ichthyophaga	245174		9545057	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4112
GCA_920106075.1	Pnal_LCP03435	Penicillium nalgiovense	60175		31422740	Scaffold	University Paris-Sud	PRJEB44534	10988
GCA_911174915.1	Pnal_ESE00257	Penicillium nalgiovense	60175		31547343	Scaffold	University Paris-Sud	PRJEB44534	10972
GCA_000616865.1	Tric_soud_CBS_452_61_V1	Trichophyton soudanense CBS 452.61	1215331		22854418	Scaffold	Broad Institute	PRJNA186831	9016
GCA_911175305.1	Pnal_LCP03915	Penicillium nalgiovense	60175		31543392	Scaffold	University Paris-Sud	PRJEB44534	10964
GCA_911175125.1	Pnal_ESE00264	Penicillium nalgiovense	60175		31779405	Scaffold	University Paris-Sud	PRJEB44534	11118
GCA_004917895.1	ASM491789v1	Wallemia ichthyophaga	245174		9574281	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4113
GCA_004325055.1	Ordospora FISK v1	Ordospora colligata	174685		2269696	Contig	Illinois Institute of Technology	PRJNA419750	1849
GCA_004918445.1	ASM491844v1	Wallemia ichthyophaga	245174		9548988	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4107
GCA_004918315.1	ASM491831v1	Wallemia ichthyophaga	245174		9544088	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4120
GCA_004917845.1	ASM491784v1	Wallemia ichthyophaga	245174		9531358	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4130
GCA_004918895.1	ASM491889v1	Wallemia ichthyophaga	245174		9544955	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4132
GCA_004918015.1	ASM491801v1	Wallemia ichthyophaga	245174		9573893	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4112
GCA_004918065.1	ASM491806v1	Wallemia ichthyophaga	245174		9564815	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4133
GCA_004918625.1	ASM491862v1	Wallemia ichthyophaga	245174		9545149	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4135
GCA_004918345.1	ASM491834v1	Wallemia ichthyophaga	245174		9534035	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4128
GCA_000190615.1	Nema_parisii_ERTm3_V1	Nematocida parisii ERTm3	935791		4147597	Scaffold	Broad Institute	PRJNA61123	2788
GCA_004918745.1	ASM491874v1	Wallemia ichthyophaga	245174		9556958	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4118
GCA_004918415.1	ASM491841v1	Wallemia ichthyophaga	245174		9515250	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4132
GCA_004324945.1	Ordospora NOV7 v1	Ordospora colligata	174685		2325988	Contig	Illinois Institute of Technology	PRJNA419750	1862
GCA_000827495.1	Hypsu1	Hypholoma sublateritium FD-334 SS-4	945553		48031814	Scaffold	JGI	PRJNA70685	17997
GCA_911639145.1	Pnal_LCP03991	Penicillium nalgiovense	60175		31425394	Scaffold	University Paris-Sud	PRJEB44534	10984
GCA_911174875.1	Pnal_DTO204-F1	Penicillium nalgiovense	60175		29880352	Scaffold	University Paris-Sud	PRJEB44534	10467
GCA_002072425.1	ASM207242v1	Penicillium nalgiovense	60175		32980092	Scaffold	Chalmers University of Technology	PRJNA318735	11853
GCA_911174895.1	Pnal_ESE00260	Penicillium nalgiovense	60175		31236137	Scaffold	University Paris-Sud	PRJEB44534	10977
GCA_911174845.1	Pnal_ESE00258	Penicillium nalgiovense	60175		31097831	Scaffold	University Paris-Sud	PRJEB44534	10968
GCA_911639135.1	Pnal_LCP05232	Penicillium nalgiovense	60175		31334022	Scaffold	University Paris-Sud	PRJEB44534	10982
GCA_911175015.1	Pnal_DTO334-C1	Penicillium nalgiovense	60175		31418979	Scaffold	University Paris-Sud	PRJEB44534	10983
GCA_911175025.1	Pnal_DTO334-B7	Penicillium nalgiovense	60175		31350291	Scaffold	University Paris-Sud	PRJEB44534	10965
GCA_911175245.1	Pnal_ESE00254	Penicillium nalgiovense	60175		31381282	Scaffold	University Paris-Sud	PRJEB44534	10978
GCA_911175185.1	Pnal_ESE00263	Penicillium nalgiovense	60175		31809620	Scaffold	University Paris-Sud	PRJEB44534	11125
GCA_911174985.1	Pnal_DTO259-D5	Penicillium nalgiovense	60175		31583907	Scaffold	University Paris-Sud	PRJEB44534	11058
GCA_911175325.1	Pnal_ESE00256	Penicillium nalgiovense	60175		31226533	Scaffold	University Paris-Sud	PRJEB44534	10969
GCA_911174975.1	Pnal_ESE00259	Penicillium nalgiovense	60175		31359185	Scaffold	University Paris-Sud	PRJEB44534	10991
GCA_911174865.1	Pnal_DTO335-D4	Penicillium nalgiovense	60175		31406501	Scaffold	University Paris-Sud	PRJEB44534	10967
GCA_911175295.1	Pnal_DTO053-A9	Penicillium nalgiovense	60175		31172980	Scaffold	University Paris-Sud	PRJEB44534	10977
GCA_911175155.1	Pnal_ESE00255	Penicillium nalgiovense	60175		31057889	Scaffold	University Paris-Sud	PRJEB44534	10970
GCA_911175315.1	Pnal_CBS297.97	Penicillium nalgiovense	60175		31313954	Scaffold	University Paris-Sud	PRJEB44534	10852
GCA_911175145.1	Pnal_ESE00261	Penicillium nalgiovense	60175		31120043	Scaffold	University Paris-Sud	PRJEB44534	10936
GCA_010093985.1	Cerzm1	Cercospora zeae-maydis SCOH1-5	717836		46606234	Scaffold	JGI	PRJNA68833	12107
GCA_911175225.1	Pnal_CBS318.92	Penicillium nalgiovense	60175		31474098	Scaffold	University Paris-Sud	PRJEB44534	10982
GCA_911175035.1	Pnal_ESE00268	Penicillium nalgiovense	60175		31585821	Scaffold	University Paris-Sud	PRJEB44534	11070
GCA_911175165.1	Pnal_ESE00267	Penicillium nalgiovense	60175		30918143	Scaffold	University Paris-Sud	PRJEB44534	10987
GCA_911174885.1	Pnal_CBS112438	Penicillium nalgiovense	60175		31608114	Scaffold	University Paris-Sud	PRJEB44534	13918
GCA_024243695.1	npar_JUm2132	Nematocida parisii	586133		4041025	Scaffold	University of Toronto	PRJNA579982	2595
GCA_024243675.1	npar_JUm2106	Nematocida parisii	586133		3973227	Scaffold	University of Toronto	PRJNA579982	2555
GCA_021223965.1	ASM2122396v1	Drosophila sulfurigaster	88886		158690976	Scaffold	BGI-Shenzhen	PRJNA736147	12297
GCA_024243875.1	npar_LUAm12	Nematocida parisii	586133		3988799	Scaffold	University of Toronto	PRJNA579982	2565
GCA_024243855.1	npar_LUAm13	Nematocida parisii	586133		3985521	Scaffold	University of Toronto	PRJNA579982	2558
GCA_024243715.1	npar_JUm1762	Nematocida parisii	586133		4049375	Scaffold	University of Toronto	PRJNA579982	2626
GCA_024243795.1	npar_JUm1248	Nematocida parisii	586133		3946844	Scaffold	University of Toronto	PRJNA579982	2528
GCA_004918335.1	ASM491833v1	Wallemia ichthyophaga	245174		9628293	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4130
GCA_004918755.1	ASM491875v1	Wallemia ichthyophaga	245174		9697264	Contig	Biotechnical Faculty, University of Ljubljana	PRJNA527765	4155
GCA_000827335.1	Pisolithus tinctorius Marx 270 v1.0	Pisolithus tinctorius Marx 270	870435		71007534	Scaffold	DOE Joint Genome Institute	PRJNA207840	22845
GCA_911175235.1	Pnal_ESE00262	Penicillium nalgiovense	60175		29365678	Scaffold	University Paris-Sud	PRJEB44534	10765
GCA_000385855.2	Annc_alge_PRA109_V4	Anncaliia algerae PRA109	1240240		17534931	Scaffold	Broad Institute	PRJNA188094	5330
GCA_000492115.1	T_rangeli_SC58v1	Trypanosoma rangeli SC58	429131		15114272	Contig	BiowebDB	PRJNA18945	7475
GCA_964186725.1	CDAUBV1_v7	Calicophoron daubneyi	300641		1761193519	Contig	Centre for Genomic Research, Institute of Integrative Biology, University of Liverpool, UK	PRJEB76148	17637
GCA_037055385.1	S_lineage_1.0	Polyplax serrata	468196		138661138	Contig	Faculty of Science, University of South Bohemia	PRJNA1018720	14045
GCA_904067145.1	BOKI2	Bursaphelenchus okinawaensis	465554		69956301	Scaffold	University of Miyazaki	PRJEB40023	14593
GCA_021399445.1	XylPMI703_1	Xylogone sp. PMI_703	2614602		50149085	Contig	DOE Joint Genome Institute	PRJNA572468	16608
GCA_963931945.1	Bufotes_viridis_n_2023_12	Bufotes viridis	30338		3879743336	Scaffold	NBIS (National Bioinformatics Infrastructure Sweden)	PRJEB71764	31608
GCA_030272585.1	Bryopsis_sp._KO-2023_v1.0	Bryopsis sp. KO-2023	3041901		90654258	Contig	Nagoya University	PRJDB15746	14220
GCA_028827225.1	ASM2882722v1	Penicillium sp. CMV-2018d	2184411		32244276	Contig	Aalborg University	PRJNA867151	12024
GCA_028827775.1	ASM2882777v1	Penicillium malachiteum	1324776		34863708	Contig	Aalborg University	PRJNA867151	12514
GCA_046255075.1	ASM4625507v1	Leptodophora sp. 'Broadleaf-Isolate-01'	3375984		75142167	Contig	Keck Graduate Institute	PRJNA1153414	19567
GCA_038362655.1	ASM3836265v1	Apiospora saccharicola	335842		52616589	Contig	Aalborg university	PRJNA923254	16409
GCA_028974015.1	ASM2897401v1	Penicillium cf. griseofulvum	2972120		29823847	Contig	Aalborg University	PRJNA867151	11336
GCA_020736525.1	Chame1	Chaetomium sp. MPI-CAGE-AT-0009	2821753		33768356	Contig	DOE Joint Genome Institute	PRJNA370120	11518
GCA_038364125.1	ASM3836412v1	Apiospora kogelbergensis	1337665		44893622	Contig	Aalborg university	PRJNA923254	14815
GCA_028828865.1	ASM2882886v1	Penicillium sp. IBT 16267x	3003415		33465021	Contig	Aalborg University	PRJNA867151	11479
GCA_028826755.1	ASM2882675v1	Penicillium angulare	116970		38603916	Contig	Aalborg University	PRJNA867151	13749
GCA_038364195.1	ASM3836419v1	Apiospora sp. TS-2023a	3021424		50607532	Contig	Aalborg university	PRJNA923254	16678
GCA_028827875.1	ASM2882787v1	Penicillium longicatenatum	1561947		32311308	Contig	Aalborg University	PRJNA867151	11886
GCA_020744335.1	Fusco1	Fusarium sp. MPI-SDFR-AT-0072	2826082		48370669	Contig	DOE Joint Genome Institute	PRJNA455444	16026
GCA_028827535.1	ASM2882753v1	Penicillium sp. DV-2018c	2086405		25359523	Contig	Aalborg University	PRJNA867151	9637
GCA_028827425.1	ASM2882742v1	Penicillium sp. DV-2018c	2086405		25327983	Contig	Aalborg University	PRJNA867151	9586
GCA_028974045.1	ASM2897404v1	Penicillium cf. viridicatum	2972119		35226502	Contig	Aalborg University	PRJNA867151	12613
GCA_028827865.1	ASM2882786v1	Penicillium frequentans	3151616		36177675	Contig	Aalborg University	PRJNA867151	13323
GCA_022432395.1	Pestal1	Pestalotiopsis sp. NC0098	1907218		46406735	Contig	DOE Joint Genome Institute	PRJNA346296	15383
GCA_028827885.1	ASM2882788v1	Penicillium sp. IBT 31633x	3003414		30347723	Contig	Aalborg University	PRJNA867151	10603
GCA_017639365.1	ASM1763936v1	Yarrowia sp. E02	2768841		25047428	Contig	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	PRJNA399804	6879
GCA_954870535.1	F40	Fusarium sp. VM40	3049762		42058709	Contig	groningen institute for evolutionary life sciences, university of groningen	PRJEB62500	13551
GCA_028826995.1	ASM2882699v1	Penicillium cf. griseofulvum	2972120		29797777	Contig	Aalborg University	PRJNA867151	11373
GCA_028828895.1	ASM2882889v1	Penicillium sp. IBT 35674x	3003416		37375558	Contig	Aalborg University	PRJNA867151	12925
GCA_028826765.1	ASM2882676v1	Penicillium atrosanguineum	1132637		30509980	Contig	Aalborg University	PRJNA867151	11471
GCA_017639385.1	ASM1763938v1	Yarrowia sp. C11	2768840		24883212	Contig	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	PRJNA398454	6900
GCA_028827005.1	ASM2882700v1	Penicillium atrosanguineum	1132637		30880235	Contig	Aalborg University	PRJNA867151	11595
GCA_902703425.1	Spirodela_intermedia_7747_2	Spirodela intermedia	51605		147238293	Scaffold	Leibniz Institute of Plant Genetics and Crop Plant Research	PRJEB35514	22564
GCA_020726445.1	Chafu1	Chaetomium sp. MPI-SDFR-AT-0129	2823209		33300809	Contig	DOE Joint Genome Institute	PRJNA370201	10578
GCA_028827235.1	ASM2882723v1	Penicillium cf. griseofulvum	2972120		29442304	Contig	Aalborg University	PRJNA867151	11219
GCA_028826785.1	ASM2882678v1	Penicillium atrosanguineum	1132637		30046757	Contig	Aalborg University	PRJNA867151	11535
GCA_038362885.1	ASM3836288v1	Apiospora marii	335849		50201137	Contig	Aalborg university	PRJNA923254	16317
GCA_028828935.1	ASM2882893v1	Penicillium sp. IBT 18751x	3003417		30736580	Contig	Aalborg University	PRJNA867151	11165
GCA_017635955.1	ASM1763595v1	Yarrowia sp. B02	2768839		19983896	Contig	Fraunhofer Institute for Molecular Biology and Applied Ecology (IME)	PRJNA398452	7047
GCA_020800285.1	Sorhu1	Sordaria sp. MPI-SDFR-AT-0083	2830617		39449547	Contig	DOE Joint Genome Institute	PRJNA371202	11515
GCA_030708095.1	ASM3070809v1	Trichoderma sp. CBMAI-0020	2898082		36411897	Contig	University of Campinas	PRJNA781962	10715
GCA_024336345.1	MarPMI226	Mariannaea sp. PMI_226	1896173		42252145	Contig	DOE Joint Genome Institute	PRJNA340810	12886
GCA_013368295.1	LU_PSS_1.0	Psilocybe cf. subviscida	2480587		53019196	Contig	Lund University	PRJNA496359	13686
GCA_013138035.1	ASM1313803v1	Penicillium sp. str. #12	2720512		37990757	Contig	None	PRJNA612335	13258
GCA_040206745.1	ASM4020674v1	Trebouxia sp. C0006	2905655		68275875	Contig	Senckenberg	PRJNA790449	11753
GCA_028828985.1	ASM2882898v1	Penicillium chermesinum	63820		27552694	Contig	Aalborg University	PRJNA867151	10455
GCA_947471745.1	Genome assembly Closterium sp. Naga37s-1	Closterium sp. Naga37s-1	2996811		975230015	Contig	tokyo university	PRJEB57781	52529
